Shorthand	DOI	Authors	Journal	Title	Date	bioRxiv DOI	Reported cells total	Organism	Tissue	Technique	Data location	Panel size	Measurement	Cell source	Contrasts	Developmental stage	Number of reported cell types or clusters	Cell clustering	Pseudotime	RNA Velocity	PCA	tSNE	H5AD location	Isolation
Ponzetta et al Cell	10.1016/j.cell.2019.05.047	Andrea Ponzetta, Roberta Carriero, Silvia Carnevale, Marialuisa Barbagallo, Martina Molgora, Chiara Perucchini, Elena Magrini, Francesca Gianni, Paolo Kunderfranco, Nadia Polentarutti, Fabio Pasqualini, Sabrina Di Marco, Domenico Supino, Clelia Peano, Ferdinando Cananzi, Piergiuseppe Colombo, Silvana Pilotti, Suliman Yousef Alomar, Eduardo Bonavita, Maria Rosaria Galdiero, Cecilia Garlanda, Alberto Mantovani, Sebastien Jaillon	Cell	Neutrophils Driving Unconventional T Cells Mediate Resistance against Murine Sarcomas and Selected Human Tumors	20190627.0	-	31,623	Mouse		Chromium	GSE123508		RNA-seq	sarcoma			12.0	Yes	Yes			Yes		
Jaitin et al Cell	10.1016/j.cell.2019.05.054	Diego Adhemar Jaitin, Lorenz Adlung, Christoph A. Thaiss, Assaf Weiner, Baoguo Li, Hélène Descamps, Patrick Lundgren, Camille Bleriot, Zhaoyuan Liu, Aleksandra Deczkowska, Hadas Keren-Shaul, Eyal David, Niv Zmora, Shai Meron Eldar, Nir Lubezky, Oren Shibolet, David A. Hill, Mitchell A. Lazar, Marco Colonna, Florent Ginhoux, Hagit Shapiro, Eran Elinav, Ido Amit	Cell	Lipid-Associated Macrophages Control Metabolic Homeostasis in a Trem2-Dependent Manner	20190627.0	-	21,210	Human, Mouse		MARS-seq	GSE128518		RNA-seq	macrophages										
OFlanagan et al bioRxiv	10.1101/683227	Ciara H O’Flanagan, Kieran R Campbell, Allen W Zhang, Farhia Kabeer, Jamie LP Lim, Justina Biele, Peter Eirew, Daniel Lai, Andrew McPherson, Esther Kong, Cherie Bates, Kelly Borkowski, Matt Wiens, James Hopkins, Brittany Hewitson, Nicholas Ceglia, Richard Moore, Andy J Mungall, Jessica N McAlpine, Sohrab P Shah, Samuel Aparicio, The CRUK IMAXT Grand Challenge Team	bioRxiv	Dissociation of solid tumour tissues with cold active protease for single-cell RNA-seq minimizes conserved collagenase-associated stress responses	20190627.0	10.1101/683227	128,481	Human, Mouse		Chromium			RNA-seq	tumors										
Rossi et al Science	10.1126/science.aax1184	Mark A. Rossi, Marcus L. Basiri, Jenna A. McHenry, Oksana Kosyk, James M. Otis, Hanna E. van den Munkhof, Julien Bryois, Christopher Hübel, Gerome Breen, Wilson Guo, Cynthia M. Bulik, Patrick F. Sullivan, Garret D. Stuber	Science	Obesity remodels activity and transcriptional state of a lateral hypothalamic brake on feeding	20190628.0	-	20,194	Mouse	Brain	Drop-seq	GSE130597		RNA-seq	lateral hypothalamic area			14.0	Yes				Yes		
Caron et al bioRxiv	10.1101/683854	Maxime Caron, Pascal St-Onge, Thomas Sontag, Yu Chang Wang, Chantal Richer, Ioannis Ragoussis, Daniel Sinnett, Guillaume Bourque	bioRxiv	Single-cell analysis of childhood leukemia reveals a link between developmental states and ribosomal protein expression as a source of intra-individual heterogeneity	20190628.0	10.1101/683854	39,375	Human		Chromium	GSE132509		RNA-seq	childhood leukemia										
Fang et al DBiology	10.1016/j.ydbio.2019.06.017	Xiang Fang, Ling-Long Huang, Jian Xu, Cai-Qi Ma, Zhi-Heng Chen, Zhan Zhang, Cai-Hua Liao, Shu-Xin Zheng, Peng Huang, Wen-Ming Xu, Na Li, Ling Sun	Developmental Biology	Proteomics and single-cell RNA analysis of Akap4-knockout mice model confirm indispensable role of Akap4 in spermatogenesis	20190628.0	-		Mouse	Testis	Chromium	SRR9107534		RNA-seq	Testis			12.0							
Buenaventura et al IOVS	10.1167/iovs.19-26951	Diego F. Buenaventura, Adrianne Corseri, Mark M. Emerson	Invest. Ophthalmol. Vis. Sci.	Identification of Genes With Enriched Expression in Early Developing Mouse Cone Photoreceptors	20190701.0	-	4,000	Mouse	Eye	Chromium	GSE132272		RNA-seq	E14.5 retinal cells		E14.5	9.0	Yes				Yes		
Wineberg et al bioRxiv	10.1101/688564	Yishay Wineberg, Tali Hana Bar-Lev, Anna Futorian, Nissim Ben-Haim, Leah Armon, Debby Ickowicz, Sarit Oriel, Efrat Bucris, Yishai Yehuda, Naomi Pode-Shakked, Shlomit Gilad, Sima Benjamin, Peter Hohenstein, Benjamin Dekel, Achia Urbach, Tomer Kalisky	bioRxiv	Single-cell RNA sequencing reveals mRNA splice isoform switching during kidney development	20190701.0	10.1101/688564	544	Mouse	Kidney	Smart-seq2			RNA-seq	E18.5 kidney		E18.5	9.0	Yes			Yes	Yes		
Frumm et al bioRxiv	10.1101/687947	Stacey M. Frumm, Kevin Shengyang Yu, Joseph Chang, Jordan A. Briscoe, Katharine P. Lee, Lauren E. Byrnes, Julie B. Sneddon, Aaron D. Tward	bioRxiv	A hierarchy of migratory keratinocytes maintains the tympanic membrane	20190702.0	10.1101/687947	5,184	Human		Chromium	GSE128892		RNA-seq	tymphanic membrane			21.0	Yes				Yes		
Hughes et al bioRxiv	10.1101/689273	Travis K Hughes, Marc H Wadsworth, Todd M Gierahn, Tran Do, David Weiss, Priscilla R. Andrade, Feiyang Ma, Bruno J. de Andrade Silva, Shuai Shao, Lam C Tsoi, Jose Ordovas-Montanes, Johann E Gudjonsson, Robert L Modlin, J Christopher Love, Alex K Shalek	bioRxiv	Highly Efficient, Massively-Parallel Single-Cell RNA-Seq Reveals Cellular States and Molecular Features of Human Skin Pathology	20190702.0	10.1101/689273	20,903	Human, Mouse	Skin	Seq-Well S3			RNA-seq	HEK293, 3T3, PBMC, healthy and inflamed skin biopsies			33.0	Yes	Yes			Yes		
Witt et al bioRxiv	10.1101/689687	Evan Witt, Sigi Benjamin, Nicolas Svetec, Li Zhao	bioRxiv	Testis single-cell RNA-seq reveals the dynamics of de novo gene transcription and germline mutational bias in Drosophila	20190703.0	10.1101/689687	5,000	Drosophila	Testis	Chromium			RNA-seq	Testis			9.0		Yes			Yes		
Waise et al SReports	10.1038/s41598-019-45842-4	Sara Waise, Rachel Parker, Matthew J. J. Rose-Zerilli, David M. Layfield, Oliver Wood, Jonathan West, Christian H. Ottensmeier, Gareth J. Thomas, Christopher J. Hanley	Sci Rep	An optimised tissue disaggregation and data processing pipeline for characterising fibroblast phenotypes using single-cell RNA sequencing	20190703.0	-	3,200	Human	Lung	Drop-seq	GSE126111		RNA-seq	lung			9.0		No	No	Yes	Yes		
Dulken et al Nature	10.1038/s41586-019-1362-5	Ben W. Dulken, Matthew T. Buckley, Paloma Navarro Negredo, Naresha Saligrama, Romain Cayrol, Dena S. Leeman, Benson M. George, Stéphane C. Boutet, Katja Hebestreit, John V. Pluvinage, Tony Wyss-Coray, Irving L. Weissman, Hannes Vogel, Mark M. Davis, Anne Brunet	Nature	Single-cell analysis reveals T cell infiltration in old neurogenic niches	20190703.0	-	14,932	Mouse	Brain	Chromium & SMARTer (C1) & SMARTer	PRJNA450425		RNA-seq	Brain T cells from subventricular zone		3 months, 28-29 months old	11.0	Yes	No	No	Yes	Yes		
Nam et al Nature	10.1038/s41586-019-1367-0	Anna S. Nam, Kyu-Tae Kim, Ronan Chaligne, Franco Izzo, Chelston Ang, Justin Taylor, Robert M. Myers, Ghaith Abu-Zeinah, Ryan Brand, Nathaniel D. Omans, Alicia Alonso, Caroline Sheridan, Marisa Mariani, Xiaoguang Dai, Eoghan Harrington, Alessandro Pastore, Juan R. Cubillos-Ruiz, Wayne Tam, Ronald Hoffman, Raul Rabadan, Joseph M. Scandura, Omar Abdel-Wahab, Peter Smibert, Dan A. Landau	Nature	Somatic mutations and cell identity linked by Genotyping of Transcriptomes	20190703.0	-	38,290	Human, Mouse		GoT	GSE117826		RNA-seq	CD34+ Cells			15.0	Yes				Yes		
Peng et al CResearch	10.1038/s41422-019-0195-y	Junya Peng, Bao-Fa Sun, Chuan-Yuan Chen, Jia-Yi Zhou, Yu-Sheng Chen, Hao Chen, Lulu Liu, Dan Huang, Jialin Jiang, Guan-Shen Cui, Ying Yang, Wenze Wang, Dan Guo, Menghua Dai, Junchao Guo, Taiping Zhang, Quan Liao, Yi Liu, Yong-Liang Zhao, Da-Li Han, Yupei Zhao, Yun-Gui Yang, Wenming Wu	Cell Res	Single-cell RNA-seq highlights intra-tumoral heterogeneity and malignant progression in pancreatic ductal adenocarcinoma	20190704.0	-	57,530	Human	Pancreas	Chromium	CRA001160		RNA-seq	pancreas, cancer and control			10.0	Yes	Yes					
Chen et al bioRxiv	10.1101/692608	Song Chen, Blue B Lake, Kun Zhang	bioRxiv	Linking transcriptome and chromatin accessibility in nanoliter droplets for single-cell sequencing	20190705.0	10.1101/692608	11,778	Mouse	Brain	SNARE-seq			RNA-seq	cerebral cortex			22.0	Yes	Yes			Yes		
Qiu et al bioRxiv	10.1101/566968	Si Qiu, Ruoxi Hong, Zhenkun Zhuang, Yuan Li, Linnan Zhu, Xinxin Lin, Qiufan Zheng, Shang Liu, Kai Zhang, Mengxian Huang, Kaping Lee, Qianyi Lu, Wen Xia, Fei Xu, Xi Wang, Jun Tang, Xiangsheng Xiao, Weidong Wei, Zhongyu Yuan, Yanxia Shi, Yong Hou, Xiuqing Zhang, Jian Wang, Huanming Yang, Qimin Zhan, Bo Li, Shusen Wang	bioRxiv	A Single-Cell Immune Atlas of Triple Negative Breast Cancer Reveals Novel Immune Cell Subsets	20190706.0	10.1101/566968	9,683	Human	Breast	MIRALCS	CNP0000286		RNA-seq	breast cancer										
Goodyer et al CResearch	10.1161/CIRCRESAHA.118.314578	William Rowland Goodyer, Benjamin Beyersdorf, David T Paik, Lei Tian, Guang Li, Jan W Buikema, Orlando Chirikian, Shannon Choi, Sneha Venkatraman, Eliza L Adams, Marc Tessier-Lavigne, Joseph C Wu, Sean M Wu	Circulation Research	Transcriptomic Profiling of the Developing Cardiac Conduction System at Single-Cell Resolution	20190709.0	-	22,000	Mouse	Heart	Chromium	GSE132658		RNA-seq	Developing hearts	6 zones	E16.5	16.0	Yes	No	No	Yes	Yes		
Wolock et al CReports	10.1016/j.celrep.2019.06.031	Samuel L. Wolock, Indira Krishnan, Danielle E. Tenen, Victoria Matkins, Virginia Camacho, Sweta Patel, Puneet Agarwal, Ravi Bhatia, Daniel G. Tenen, Allon M. Klein, Robert S. Welner	Cell Reports	Mapping Distinct Bone Marrow Niche Populations and Their Differentiation Paths	20190709.0	-	2,847	Mouse	Bone marrow, Culture	InDrops	GSE132151		RNA-seq				7.0	Yes	Yes	Yes	Yes	No		
Chen et al EReports	10.15252/embr.201847379	Hung‐Chang Chen, Nils Eling, Celia Pilar Martinez‐Jimenez, Louise McNeill O'Brien, Valentina Carbonaro, John C Marioni, Duncan T Odom, Maike Roche	EMBO rep	IL ‐7‐dependent compositional changes within the γδ T cell pool in lymph nodes during ageing lead to an unbalanced anti‐tumour response	20190709.0	-	48	Mouse	Lymph nodes	SMARTer	E-MTAB-7178		RNA-seq	gamma delta T cells										
Aizarani et al Nature	10.1038/s41586-019-1373-2	Nadim Aizarani, Antonio Saviano, Sagar, Laurent Mailly, Sarah Durand, Josip S. Herman, Patrick Pessaux, Thomas F. Baumert, Dominic Grün	Nature	A human liver cell atlas reveals heterogeneity and epithelial progenitors	20190710.0	10.1101/649194	10,372	Human	Liver	mCEL-Seq2	GSE124395		RNA-seq				39.0	Yes	Yes	No		Yes		
Erhard et al Nature	10.1038/s41586-019-1369-y	Florian Erhard, Marisa A. P. Baptista, Tobias Krammer, Thomas Hennig, Marius Lange, Panagiota Arampatzi, Christopher S. Jürges, Fabian J. Theis, Antoine-Emmanuel Saliba, Lars Dölken	Nature	scSLAM-seq reveals core features of transcription dynamics in single cells	20190710.0	-	107	Human, Mouse	Skin	scSLAM-seq	GSE115612		RNA-seq	Fibroblasts	MCMV vs mock			No		Yes	Yes	No		
Polioudakis et al Neuron	10.1016/j.neuron.2019.06.011	Damon Polioudakis, Luis de la Torre-Ubieta, Justin Langerman, Andrew G. Elkins, Xu Shi, Jason L. Stein, Celine K. Vuong, Susanne Nichterwitz, Melinda Gevorgian, Carli K. Opland, Daning Lu, William Connell, Elizabeth K. Ruzzo, Jennifer K. Lowe, Tarik Hadzic, Flora I. Hinz, Shan Sabri, William E. Lowry, Mark B. Gerstein, Kathrin Plath, Daniel H. Geschwind	Neuron	A Single-Cell Transcriptomic Atlas of Human Neocortical Development during Mid-gestation	20190711.0	-	40,000	Human	Brain	Drop-seq & SMARTer (C1)	phs001836		RNA-seq	Ventricular zone, subventricular zone, subplate, cortical plate		17 GW, 17.5 GW, 18 GW								
Singh et al NCommunications	10.1038/s41467-019-11049-4	Mandeep Singh, Ghamdan Al-Eryani, Shaun Carswell, James M. Ferguson, James Blackburn, Kirston Barton, Daniel Roden, Fabio Luciani, Tri Giang Phan, Simon Junankar, Katherine Jackson, Christopher C. Goodnow, Martin A. Smith, Alexander Swarbrick	Nat Commun	High-throughput targeted long-read single cell sequencing reveals the clonal and transcriptional landscape of lymphocytes	20190716.0	10.1101/424945	7,138	Human		RAGE-Seq	PRJEB28878		RNA-seq	Lymphocytes, Jurkat, TNBC								Yes		
Kallionpää et al Diabetes	10.2337/db19-0287	Henna Kallionpää, Juhi Somani, Soile Tuomela, Ubaid Ullah, Rafael de Albuquerque, Tapio Lönnberg, Elina Komsi, Heli Siljander, Jarno Honkanen, Taina Härkönen, Aleksandr Peet, Vallo Tillmann, Vikash Chandra, Mahesh Kumar Anagandula, Gun Frisk, Timo Otonkoski, Omid Rasool, Riikka Lund, Harri Lähdesmäki, Mikael Knip, Riitta Lahesmaa	Diabetes	Early Detection of Peripheral Blood Cell Signature in Children Developing Beta-Cell Autoimmunity at a Young Age	20190717.0	-	20,370	Human	Blood	Chromium			RNA-seq	PBMCs					Yes			Yes		
Davizon-Castillo et al Blood	10.1182/blood.2019000200	Pavel Davizon-Castillo, Brandon McMahon, Sonia Aguila, David Bark, Katrina Ashworth, Ayed Allawzi, Robert A. Campbell, Emilie Montenont, Travis Nemkov, Angelo D'Alessandro, Nathan Clendenen, Lauren Shih, Natalie A. Sanders, Kelly Higa, Allaura Cox, Zavelia Padilla-Romo, Giovanni Hernandez, Eric Wartchow, George D. Trahan, Eva Nozik-Grayck, Kenneth Jones, Eric Pietras, James DeGregori, Matthew T. Rondina, Jorge Di Paola	Blood	TNF-alpha driven inflammation and mitochondrial dysfunction define the platelet hyperreactivity of aging	20190717.0	-		Mouse	Bone marrow	Chromium			RNA-seq	Megakaryocytes										
Wegmann et al GBiology	10.1186/s13059-019-1739-7	Rebekka Wegmann, Marilisa Neri, Sven Schuierer, Bilada Bilican, Huyen Hartkopf, Florian Nigsch, Felipa Mapa, Annick Waldt, Rachel Cuttat, Max R. Salick, Joe Raymond, Ajamete Kaykas, Guglielmo Roma, Caroline Gubser Keller	Genome Biol	CellSIUS provides sensitive and specific detection of rare cell populations from complex single-cell RNA-seq data	20190717.0	10.1101/514950	16,535	Human	Culture	Chromium			RNA-seq	A549, H1437, HCT116, HEK293, IMR90, Jurkat, K562, Ramos, hPSC derived neurons					Yes					
Strunz et al bioRxiv	10.1101/705244	Maximilian Strunz, Lukas M. Simon, Meshal Ansari, Laura F. Mattner, Ilias Angelidis, Christoph H. Mayr, Jaymin Kathiriya, Min Yee, Paulina Ogar, Arunima Sengupta, Igor Kukhtevich, Robert Schneider, Zhongming Zhao, Jens H.L. Neumann, Jürgen Behr, Carola Voss, Tobias Stöger, Mareike Lehmann, Melanie Königshoff, Gerald Burgstaller, Michael O’Reilly, Harold A. Chapman, Fabian J. Theis, Herbert B. Schiller	bioRxiv	Longitudinal single cell transcriptomics reveals Krt8+ alveolar epithelial progenitors in lung regeneration	20190717.0	10.1101/705244	60,000	Mouse	Lung	Drop-seq			RNA-seq	Regenerating lung epithelium	Many time points		28.0	Yes	Yes	Yes				
Schirmer et al Nature	10.1038/s41586-019-1404-z	Lucas Schirmer, Dmitry Velmeshev, Staffan Holmqvist, Max Kaufmann, Sebastian Werneburg, Diane Jung, Stephanie Vistnes, John H. Stockley, Adam Young, Maike Steindel, Brian Tung, Nitasha Goyal, Aparna Bhaduri, Simone Mayer, Jan Broder Engler, Omer A. Bayraktar, Robin J. M. Franklin, Maximilian Haeussler, Richard Reynolds, Dorothy P. Schafer, Manuel A. Friese, Lawrence R. Shiow, Arnold R. Kriegstein, David H. Rowitch	Nature	Neuronal vulnerability and multilineage diversity in multiple sclerosis	20190717.0		48,919	Human	Brain	Chromium	PRJNA544731		RNA-seq	Cortical gray matter and adjacent subcortical white matter	Multiple sclerosis patients and controls	Adult								
Neften et al Cell	10.1016/j.cell.2019.06.024	Cyril Neftel, Julie Laffy, Mariella G. Filbin, Toshiro Hara, Marni E. Shore, Gilbert J. Rahme, Alyssa R. Richman, Dana Silverbush, McKenzie L. Shaw, Christine M. Hebert, John Dewitt, Simon Gritsch, Elizabeth M. Perez, L. Nicolas Gonzalez Castro, Xiaoyang Lan, Nicholas Druck, Christopher Rodman, Danielle Dionne, Alexander Kaplan, Mia S. Bertalan, Julia Small, Kristine Pelton, Sarah Becker, Dennis Bonal, Quang-De Nguyen, Rachel L. Servis, Jeremy M. Fung, Ravindra Mylvaganam, Lisa Mayr, Johannes Gojo, Christine Haberler, Rene Geyeregger, Thomas Czech, Irene Slavc, Brian V. Nahed, William T. Curry, Bob S. Carter, Hiroaki Wakimoto, Priscilla K. Brastianos, Tracy T. Batchelor, Anat Stemmer-Rachamimov, Maria Martinez-Lage, Matthew P. Frosch, Ivan Stamenkovic, Nicolo Riggi, Esther Rheinbay, Michelle Monje, Orit Rozenblatt-Rosen, Daniel P. Cahill, Anoop P. Patel, Tony Hunter, Inder M. Verma, Keith L. Ligon, David N. Louis, Aviv Regev, Bradley E. Bernstein, Itay Tirosh, Mario L. Suvà	Cell	An Integrative Model of Cellular States, Plasticity, and Genetics for Glioblastoma	20190718.0	-	24,131	Human	Brain	Chromium & Smart-seq2	GSE131928		RNA-seq	Glioblastoma	Adult and pediatric 									
Wohnhaas et al SReports	10.1038/s41598-019-46932-z	Christian T. Wohnhaas, Germán G. Leparc, Francesc Fernandez-Albert, David Kind, Florian Gantner, Coralie Viollet, Tobias Hildebrandt, Patrick Baum	Sci Rep	DMSO cryopreservation is the method of choice to preserve cells for droplet-based single-cell RNA sequencing	20190723.0	-	38,583	Mouse, Rat, Human	Liver, Blood, Culture	Chromium & Drop-seq	GSE127249		RNA-seq	Monocyte derived macrophages, liver immune cells, HEK293, 3T3	Methanol vs DMSO, time in storage, drop-seq vs 10x		20.0	Yes				Yes		
Liu et al Immunity	10.1016/j.immuni.2019.06.017	Chang Liu, Maria Chikina, Rahul Deshpande, Ashley V. Menk, Ting Wang, Tracy Tabib, Erin A. Brunazzi, Kate M. Vignali, Ming Sun, Donna B. Stolz, Robert A. Lafyatis, Wei Chen, Greg M. Delgoffe, Creg J. Workman, Stacy G. Wendell, Dario A.A. Vignali	Immunity	Treg Cells Promote the SREBP1-Dependent Metabolic Fitness of Tumor-Promoting Macrophages via Repression of CD8+ T Cell-Derived Interferon-γ	20190723.0	-	2,611	Mouse	Tumor	Chromium	GSE133656		RNA-seq	melanoma, carcinoma		5 weeks	13.0	Yes	Yes		Yes	Yes		
Hosein et al JCIInsight	10.1172/jci.insight.129212	Abdel Nasser Hosein, Huocong Huang, Zhaoning Wang, Kamalpreet Parmar, Wenting Du, Jonathan Huang, Anirban Maitra, Eric Olson, Udit Verma, Rolf A. Brekken	JCI Insight	Cellular heterogeneity during mouse pancreatic ductal adenocarcinoma progression at single-cell resolution	20190723.0	10.1101/539874	6,682	Mouse	Pancreas	Chromium	GSE125588		RNA-seq	pancreatic cancer models KIC, KPfC, KPC		60 days, 40 days, 6 months	10.0	Yes	No	No	Yes	Yes		
Zhang et al SData	10.1038/s41597-019-0131-5	Yuanyuan Zhang, Liangtao Zheng, Lei Zhang, Xueda Hu, Xianwen Ren, Zemin Zhang	Sci Data	Deep single-cell RNA sequencing data of individual T cells from treatment-naïve colorectal cancer patients	20190724.0	-	11,138	Human	Blood, Tumor, Gut	Smart-seq2	GSE108989		RNA-seq	T cells from CRC patients	Blood, normal, tumor		20.0	Yes				Yes		
Hovestadt et al Nature	10.1038/s41586-019-1434-6	Volker Hovestadt, Kyle S. Smith, Laure Bihannic, Mariella G. Filbin, McKenzie L. Shaw, Alicia Baumgartner, John C. DeWitt, Andrew Groves, Lisa Mayr, Hannah R. Weisman, Alyssa R. Richman, Marni E. Shore, Liliana Goumnerova, Celeste Rosencrance, Robert A. Carter, Timothy N. Phoenix, Jennifer L. Hadley, Yiai Tong, Jim Houston, Richard A. Ashmun, Michael DeCuypere, Tanvi Sharma, Diane Flasch, Antonina Silkov, Keith L. Ligon, Scott L. Pomeroy, Miguel N. Rivera, Orit Rozenblatt-Rosen, Jessica M. Rusert, Robert J. Wechsler-Reya, Xiao-Nan Li, Andreas Peyrl, Johannes Gojo, Dominik Kirchhofer, Daniela Lötsch, Thomas Czech, Christian Dorfer, Christine Haberler, Rene Geyeregger, Angela Halfmann, Charles Gawad, John Easton, Stefan M. Pfister, Aviv Regev, Amar Gajjar, Brent A. Orr, Irene Slavc, Giles W. Robinson, Bradley E. Bernstein, Mario L. Suvà, Paul A. Northcott	Nature	Resolving medulloblastoma cellular architecture by single-cell genomics	20190724.0	-	86,890	Human, Mouse	Tumor	Chromium & Smart-seq2	GSE119926		RNA-seq	Medulloblastoma and patient derived xenografts		Aged 2 to 17		Yes			Yes	Yes		
de Soysa et al Nature	10.1038/s41586-019-1414-x	T. Yvanka de Soysa, Sanjeev S. Ranade, Satoshi Okawa, Srikanth Ravichandran, Yu Huang, Hazel T. Salunga, Amelia Schricker, Antonio del Sol, Casey A. Gifford, Deepak Srivastava	Nature	Single-cell analysis of cardiogenesis reveals basis for organ-level developmental defects	20190724.0	-	21,366	Mouse	Heart	Chromium	GSE126128		RNA-seq	Early cardiac progenitors	WT vs Hand2-null	E7.75, E8.25, E9.25								
Smillie et al Cell	10.1016/j.cell.2019.06.029	Christopher S. Smillie, Moshe Biton, Jose Ordovas-Montanes, Keri M. Sullivan, Grace Burgin, Daniel B. Graham, Rebecca H. Herbst, Noga Rogel, Michal Slyper, Julia Waldman, Malika Sud, Elizabeth Andrews, Gabriella Velonias, Adam L. Haber, Karthik Jagadeesh, Sanja Vickovic, Junmei Yao, Christine Stevens, Danielle Dionne, Lan T. Nguyen, Alexandra-Chloé Villani, Matan Hofree, Elizabeth A. Creasey, Hailiang Huang, Orit Rozenblatt-Rosen, John J. Garber, Hamed Khalili, A. Nicole Desch, Mark J. Daly, Ashwin N. Ananthakrishnan, Alex K. Shalek, Ramnik J. Xavier, Aviv Regev	Cell	Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis	20190725.0	10.1101/455451	366,650	Human	Colon	Chromium	SCP259		RNA-seq	Colon mucosa from UC patients and healthy individuals	UC vs healthy		51.0	Yes	Yes	No	Yes	Yes		
Crowell et al bioRxiv	10.1101/713412	Helena L Crowell, Charlotte Soneson, Pierre-Luc Germain, Daniela Calini, Ludovic Collin, Catarina Raposo, Dheeraj Malhotra, Mark Robinson	bioRxiv	On the discovery of population-specific state transitions from multi-sample multi-condition single-cell RNA sequencing data	20190726.0	10.1101/713412		Mouse	Brain	Chromium	10.6084/m9.figshare.8976473.v1		RNA-seq	Nuclei from cortex	vehicle vs LPS	11 weeks								
Wouters et al bioRxiv	10.1101/715995	Jasper Wouters, Zeynep Kalender Atak, Liesbeth Minnoye, Katina Spanier, Maxime De Waegeneer, Carmen Bravo Gonzalez-Blas, David Mauduit, Kristofer Davie, Gert Hulselmans, Ahmad Najem, Michael Dewaele, Florian Rambow, Samira Makhzami, Valerie Christiaens, Ghanem Ghanem, Jean-Christophe Marine, Stein Aerts	bioRxiv	Single-cell gene regulatory network analysis reveals new melanoma cell states and transition trajectories during phenotype switching	20190726.0	10.1101/715995	39,263	Human	Culture	Chromium			RNA-seq	Melanoma cells derived from biopsies										
Sanchez-Taltavull et al bioRxiv	10.1101/714824	Daniel Sanchez-Taltavull, Theodore J. Perkins, Noelle Dommann, Nicolas Melin, Adrian Keogh, Daniel Candinas, Deborah Stroka, Guido Beldi	bioRxiv	Bayesian Correlation is a robust similarity measure for single cell RNA-seq data	20190726.0	10.1101/714824	13,000	Mouse	Liver	Chromium	GSE134134		RNA-seq	Hepatocytes			17.0	Yes				Yes		
Yost et al NMedicine	10.1038/s41591-019-0522-3	Kathryn E. Yost, Ansuman T. Satpathy, Daniel K. Wells, Yanyan Qi, Chunlin Wang, Robin Kageyama, Katherine L. McNamara, Jeffrey M. Granja, Kavita Y. Sarin, Ryanne A. Brown, Rohit K. Gupta, Christina Curtis, Samantha L. Bucktrout, Mark M. Davis, Anne Lynn S. Chang, Howard Y. Chang	Nat Med	Clonal replacement of tumor-specific T cells following PD-1 blockade	20190729.0	10.1101/648899	79,046	Human	Tumors	Chromium			RNA-seq	BCC and SCC patients	pre and post therapy									
Bargeritz et al NMethods	10.1038/s41592-019-0492-x	Josephine Bageritz, Philipp Willnow, Erica Valentini, Svenja Leible, Michael Boutros, Aurelio A. Teleman	Nat Methods	Gene expression atlas of a developing tissue by single cell expression correlation analysis	20190730.0	10.1101/477125	4,198	Drosophila	Wing	Chromium & Drop-seq	GSE127832		RNA-seq	Wing disc			5.0	Yes	No	No	Yes	Yes		
Liu et al CReports	10.1016/j.celrep.2019.06.092	Xuanyu Liu, Wen Chen, Wenke Li, Yan Li, James R. Priest, Bin Zhou, Jikui Wang, Zhou Zhou	Cell Reports	Single-Cell RNA-Seq of the Developing Cardiac Outflow Tract Reveals Convergent Development of the Vascular Smooth Muscle Cells	20190730.0	-	55,611	Mouse	Heart	Chromium	PRJNA489304		RNA-seq	VSMCs from cardiac outflow tract		ps47, ps49, ps51	17.0	Yes	Yes	Yes	Yes	Yes		
Tiklová et al bioRxiv	10.1101/720870	Katarína Tiklová, Sara Nolbrant, Alessandro Fiorenzano, Åsa K. Björklund, Yogita Sharma, Andreas Heuer, Linda Gillberg, Deirdre B. Hoban, Tiago Cardoso, Andrew F. Adler, Marcella Birtele, Hilda Lundén-Miguel, Nikolaos Volakakis, Agnete Kirkeby, Thomas Perlmann, Malin Parmar	bioRxiv	Single Cell Gene Expression Analysis Reveals Human Stem Cell-Derived Graft Composition in a Cell Therapy Model of Parkinson’s Disease	20190805.0	10.1101/720870	8,558	Human, Rat		Chromium & Smart-seq2	GSE132758		RNA-seq											
Hayward et al bioRxiv	10.1101/724641	Regan J. Hayward, James W. Marsh, Michael S. Humphrys, Wilhelmina M. Huston, Garry S.A. Myers	bioRxiv	Early transcriptional landscapes of Chlamydia trachomatis-infected epithelial cells at single cell resolution	20190806.0	10.1101/724641	200		Culture	SMARTer (C1)			RNA-seq	Chlamydia infected epithelial cells	Mock vs infected		2.0	Yes	Yes	No	Yes	No		
Takada et al Immunity	10.1016/j.immuni.2019.06.027	Akira Takeda, Maija Hollmén, Denis Dermadi, Junliang Pan, Kevin Francis Brulois, Riina Kaukonen, Tapio Lönnberg, Pia Boström, Ilkka Koskivuo, Heikki Irjala, Masayuki Miyasaka, Marko Salmi, Eugene C. Butcher, Sirpa Jalkanen	Immunity	Single-Cell Survey of Human Lymphatics Unveils Marked Endothelial Cell Heterogeneity and Mechanisms of Homing for Neutrophils	20190808.0	-	33,000	Human	Lymph nodes	Chromium	GSE124494		RNA-seq	Lymphatic epithelial cells			6.0	Yes	Yes	No	Yes	No		
